"id","user","description","status","priority","category","assignedTo","createdAt"
22,"sophia@example.com","Incorrect calculations in the financial module.","closed","high","operations","jane@example.com","2023-06-10"
23,"jackson@example.com","Error message displayed when trying to submit a support ticket.","open","medium","other","james@example.com","2023-06-10"
24,"emma@example.com","The system is not allowing me to change my password.","open","low","account","sarah@example.com","2023-06-10"
25,"aiden@example.com","Images are not displaying correctly in the gallery.","closed","high","software","jane@example.com","2023-06-10"
26,"mia@example.com","The application crashes when opening multiple tabs.","open","medium","other","james@example.com","2023-06-11"
27,"liam@example.com","The search feature is not returning any results.","open","low","software","sarah@example.com","2023-06-11"
28,"ava@example.com","Unable to download the generated reports.","closed","high","operations","jane@example.com","2023-06-11"
29,"noah@example.com","The system is not sending email confirmations.","open","medium","operations","james@example.com","2023-06-11"
30,"olivia@example.com","Cannot update the shipping address in the checkout process.","open","low","account","sarah@example.com","2023-06-11"
31,"logan@example.com","Error message displayed when trying to process a payment.","closed","high","software","jane@example.com","2023-04-11"
32,"amelia@example.com","The application is not displaying the correct currency symbol.","open","medium","other","james@example.com","2023-06-11"
33,"carter@example.com","Incorrect data displayed in the customer profile.","open","low","account","sarah@example.com","2023-06-11"
34,"henry@example.com","The system is freezing when generating large reports.","closed","high","operations","jane@example.com","2023-06-11"
35,"harper@example.com","Cannot add items to the shopping cart.","open","medium","software","james@example.com","2023-06-11"
36,"ryan@example.com","The application is not displaying the correct product images.","open","low","other","sarah@example.com","2023-06-11"
37,"abigail@example.com","Unable to create a new account.","closed","high","account","jane@example.com","2023-06-12"
38,"jacob@example.com","The system is not generating invoices correctly.","open","medium","operations","james@example.com","2023-06-12"
39,"lily@example.com","Error message displayed when trying to update the customer information.","open","low","other","sarah@example.com","2023-06-12"
40,"lucas@example.com","The application crashes when trying to print shipping labels.","closed","high","software","jane@example.com","2023-06-12"
41,"oliver@example.com","The application is not displaying the correct pricing for products.","open","low","software","sarah@example.com","2023-06-12"
42,"isabella@example.com","Unable to access the knowledge base articles.","closed","high","operations","jane@example.com","2023-06-12"
43,"ethan@example.com","Error message displayed when trying to process a payment.","open","medium","other","james@example.com","2023-06-12"
44,"mia@example.com","The system is not allowing me to change my account password.","open","low","account","sarah@example.com","2023-06-12"
45,"aiden@example.com","Images are not loading in the product gallery.","closed","high","software","jane@example.com","2023-06-12"
46,"ava@example.com","The application crashes when opening multiple tabs.","open","medium","other","james@example.com","2023-06-13"
47,"liam@example.com","The search results are not being displayed.","open","low","software","sarah@example.com","2023-06-13"
48,"sophia@example.com","Unable to download the generated reports.","closed","high","operations","jane@example.com","2023-06-13"
49,"noah@example.com","The system is not sending email notifications.","open","medium","operations","james@example.com","2023-06-13"
50,"olivia@example.com","Cannot update the shipping address during checkout.","open","low","account","sarah@example.com","2023-06-13"
51,"logan@example.com","Error message displayed when trying to process a payment.","closed","high","software","jane@example.com","2023-06-13"
52,"amelia@example.com","The application is not displaying the correct currency symbol.","open","medium","other","james@example.com","2023-06-13"
53,"jackson@example.com","Incorrect data displayed in the customer profile.","open","low","account","sarah@example.com","2023-06-13"
54,"henry@example.com","The system is freezing when generating large reports.","closed","high","operations","jane@example.com","2023-06-13"
55,"harper@example.com","Cannot add items to the shopping cart.","open","medium","software","james@example.com","2023-06-13"
56,"ryan@example.com","The application is not displaying the correct product images.","open","low","other","sarah@example.com","2023-06-13"
57,"abigail@example.com","Unable to create a new account.","closed","high","account","jane@example.com","2023-06-14"
58,"jacob@example.com","The system is not generating invoices correctly.","open","medium","operations","james@example.com","2023-06-14"
59,"lily@example.com","Error message displayed when trying to update the customer information.","open","low","other",,"2023-06-14"
60,"lucas@example.com","The application crashes when trying to print shipping labels.","closed","high","software","jane@example.com","2023-06-14"
61,"oliver@example.com","The application is not displaying the correct pricing for products.","open","low","software","sarah@example.com","2023-06-14"
62,"isabella@example.com","Unable to access the knowledge base articles.","closed","high","operations","jane@example.com","2023-06-14"
63,"ethan@example.com","Error message displayed when trying to process a payment.","open","medium","other","james@example.com","2023-06-14"
64,"mia@example.com","The system is not allowing me to change my account password.","open","low","account","sarah@example.com","2023-06-14"
65,"aiden@example.com","Images are not loading in the product gallery.","closed","high","software","jane@example.com","2023-06-14"
66,"ava@example.com","The application crashes when opening multiple tabs.","open","medium","other","james@example.com","2023-06-15"
67,"liam@example.com","The search results are not being displayed.","open","low","software","sarah@example.com","2023-06-15"
68,"sophia@example.com","Unable to download the generated reports.","closed","high","operations","jane@example.com","2023-06-15"
69,"noah@example.com","The system is not sending email notifications.","open","medium","operations","james@example.com","2023-04-15"
70,"olivia@example.com","Cannot update the shipping address during checkout.","open","low","account","sarah@example.com","2023-06-15"
71,"logan@example.com","Error message displayed when trying to process a payment.","closed","high","software","jane@example.com","2023-06-15"
72,"amelia@example.com","The application is not displaying the correct currency symbol.","open","medium","other","james@example.com","2023-06-15"
73,"jackson@example.com","Incorrect data displayed in the customer profile.","open","low","account","sarah@example.com","2023-06-15"
74,"henry@example.com","The system is freezing when generating large reports.","closed","high","operations","jane@example.com","2023-06-15"
75,"harper@example.com","Cannot add items to the shopping cart.","open","medium","software","james@example.com","2023-06-15"
76,"ryan@example.com","The application is not displaying the correct product images.","open","low","other","sarah@example.com","2023-06-15"
77,"abigail@example.com","Unable to create a new account.","closed","high","account","jane@example.com","2023-06-16"
78,"jacob@example.com","The system is not generating invoices correctly.","open","medium","operations","james@example.com","2023-04-16"
79,"lily@example.com","Error message displayed when trying to update the customer information.","open","low","other","sarah@example.com","2023-06-16"
80,"lucas@example.com","The application crashes when trying to print shipping labels.","closed","high","software","jane@example.com","2023-06-16"
